2026-02-19T21:18:00.215149+01:00,  soc=32.0,  volt=47.15,  volt_delta=-5.65, volt_rate_per_min=-5.65, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3448.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=44, volt_penalty_a=15, voltage_protected_limit_a=29, soc_power_w=2082, is_critical_soc=False
2026-02-19T21:29:00.215345+01:00,  soc=31.0,  volt=46.95,  volt_delta=-5.85, volt_rate_per_min=-5.85, volt_status=CRITICAL_EMERGENCY, batt_w=55.0,  batt_mode=discharge,  batt_discharge_w=55.0,  batt_charge_w=0,  load_w=3589.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:30:00.215208+01:00,  soc=31.0,  volt=46.95,  volt_delta=-5.85, volt_rate_per_min=-5.85, volt_status=CRITICAL_EMERGENCY, batt_w=55.0,  batt_mode=discharge,  batt_discharge_w=55.0,  batt_charge_w=0,  load_w=3589.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:31:00.215149+01:00,  soc=31.0,  volt=46.95,  volt_delta=-5.85, volt_rate_per_min=-5.85, volt_status=CRITICAL_EMERGENCY, batt_w=55.0,  batt_mode=discharge,  batt_discharge_w=55.0,  batt_charge_w=0,  load_w=3602.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:32:00.215083+01:00,  soc=31.0,  volt=46.84,  volt_delta=-5.96, volt_rate_per_min=-5.96, volt_status=CRITICAL_EMERGENCY, batt_w=55.0,  batt_mode=discharge,  batt_discharge_w=55.0,  batt_charge_w=0,  load_w=3602.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:33:00.214937+01:00,  soc=31.0,  volt=46.84,  volt_delta=-5.96, volt_rate_per_min=-5.96, volt_status=CRITICAL_EMERGENCY, batt_w=55.0,  batt_mode=discharge,  batt_discharge_w=55.0,  batt_charge_w=0,  load_w=3602.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:34:00.215037+01:00,  soc=31.0,  volt=46.84,  volt_delta=-5.96, volt_rate_per_min=-5.96, volt_status=CRITICAL_EMERGENCY, batt_w=55.0,  batt_mode=discharge,  batt_discharge_w=55.0,  batt_charge_w=0,  load_w=3602.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:35:00.215473+01:00,  soc=31.0,  volt=46.84,  volt_delta=-5.96, volt_rate_per_min=-5.96, volt_status=CRITICAL_EMERGENCY, batt_w=55.0,  batt_mode=discharge,  batt_discharge_w=55.0,  batt_charge_w=0,  load_w=3706.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:36:00.215327+01:00,  soc=31.0,  volt=46.8,  volt_delta=-6.0, volt_rate_per_min=-6.0, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3707.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:37:00.214696+01:00,  soc=31.0,  volt=46.8,  volt_delta=-6.0, volt_rate_per_min=-6.0, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3707.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:38:00.214695+01:00,  soc=31.0,  volt=46.8,  volt_delta=-6.0, volt_rate_per_min=-6.0, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3707.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:39:00.214879+01:00,  soc=31.0,  volt=46.74,  volt_delta=-6.06, volt_rate_per_min=-6.06, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3707.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:40:00.215737+01:00,  soc=31.0,  volt=46.74,  volt_delta=-6.06, volt_rate_per_min=-6.06, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3707.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:41:00.214569+01:00,  soc=31.0,  volt=46.74,  volt_delta=-6.06, volt_rate_per_min=-6.06, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3726.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:42:00.214880+01:00,  soc=31.0,  volt=46.74,  volt_delta=-6.06, volt_rate_per_min=-6.06, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3726.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:43:00.214572+01:00,  soc=31.0,  volt=46.74,  volt_delta=-6.06, volt_rate_per_min=-6.06, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3674.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:44:00.215231+01:00,  soc=31.0,  volt=46.74,  volt_delta=-6.06, volt_rate_per_min=-6.06, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3674.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:45:00.214618+01:00,  soc=31.0,  volt=46.64,  volt_delta=-6.16, volt_rate_per_min=-6.16, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3674.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:46:00.215302+01:00,  soc=31.0,  volt=46.61,  volt_delta=-6.19, volt_rate_per_min=-6.19, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3674.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:47:00.214912+01:00,  soc=31.0,  volt=46.61,  volt_delta=-6.19, volt_rate_per_min=-6.19, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3719.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:48:00.215546+01:00,  soc=31.0,  volt=46.61,  volt_delta=-6.19, volt_rate_per_min=-6.19, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3719.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:49:00.214853+01:00,  soc=31.0,  volt=46.54,  volt_delta=-6.26, volt_rate_per_min=-6.26, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3579.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:50:00.215146+01:00,  soc=31.0,  volt=46.54,  volt_delta=-6.26, volt_rate_per_min=-6.26, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3579.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:51:00.215700+01:00,  soc=31.0,  volt=46.54,  volt_delta=-6.26, volt_rate_per_min=-6.26, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3579.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:52:00.214929+01:00,  soc=31.0,  volt=46.54,  volt_delta=-6.26, volt_rate_per_min=-6.26, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3605.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:53:00.216201+01:00,  soc=31.0,  volt=46.54,  volt_delta=-6.26, volt_rate_per_min=-6.26, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3605.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:54:00.214694+01:00,  soc=31.0,  volt=46.44,  volt_delta=-6.36, volt_rate_per_min=-6.36, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3605.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:55:00.215472+01:00,  soc=31.0,  volt=46.44,  volt_delta=-6.36, volt_rate_per_min=-6.36, volt_status=CRITICAL_EMERGENCY, batt_w=57.0,  batt_mode=discharge,  batt_discharge_w=57.0,  batt_charge_w=0,  load_w=3605.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:56:00.215675+01:00,  soc=31.0,  volt=46.34,  volt_delta=-6.46, volt_rate_per_min=-6.46, volt_status=CRITICAL_EMERGENCY, batt_w=56.0,  batt_mode=discharge,  batt_discharge_w=56.0,  batt_charge_w=0,  load_w=3605.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:57:00.215318+01:00,  soc=31.0,  volt=46.34,  volt_delta=-6.46, volt_rate_per_min=-6.46, volt_status=CRITICAL_EMERGENCY, batt_w=56.0,  batt_mode=discharge,  batt_discharge_w=56.0,  batt_charge_w=0,  load_w=3609.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:58:00.214799+01:00,  soc=31.0,  volt=46.34,  volt_delta=-6.46, volt_rate_per_min=-6.46, volt_status=CRITICAL_EMERGENCY, batt_w=8.0,  batt_mode=idle,  batt_discharge_w=8.0,  batt_charge_w=0,  load_w=3660.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T21:59:00.214742+01:00,  soc=31.0,  volt=46.34,  volt_delta=-6.46, volt_rate_per_min=-6.46, volt_status=CRITICAL_EMERGENCY, batt_w=8.0,  batt_mode=idle,  batt_discharge_w=8.0,  batt_charge_w=0,  load_w=3660.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T22:00:00.214998+01:00,  soc=31.0,  volt=46.34,  volt_delta=-6.46, volt_rate_per_min=-6.46, volt_status=CRITICAL_EMERGENCY, batt_w=8.0,  batt_mode=idle,  batt_discharge_w=8.0,  batt_charge_w=0,  load_w=3660.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T22:01:00.214990+01:00,  soc=31.0,  volt=46.34,  volt_delta=-6.46, volt_rate_per_min=-6.46, volt_status=CRITICAL_EMERGENCY, batt_w=8.0,  batt_mode=idle,  batt_discharge_w=8.0,  batt_charge_w=0,  load_w=3660.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T22:02:00.214694+01:00,  soc=31.0,  volt=46.46,  volt_delta=-6.34, volt_rate_per_min=-6.34, volt_status=CRITICAL_EMERGENCY, batt_w=8.0,  batt_mode=idle,  batt_discharge_w=8.0,  batt_charge_w=0,  load_w=3660.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T22:03:00.215026+01:00,  soc=31.0,  volt=46.46,  volt_delta=-6.34, volt_rate_per_min=-6.34, volt_status=CRITICAL_EMERGENCY, batt_w=8.0,  batt_mode=idle,  batt_discharge_w=8.0,  batt_charge_w=0,  load_w=3605.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=42, volt_penalty_a=15, voltage_protected_limit_a=27, soc_power_w=1972, is_critical_soc=False
2026-02-19T22:04:00.214780+01:00,  soc=31.0,  volt=46.35,  volt_delta=-6.45, volt_rate_per_min=-6.45, volt_status=CRITICAL_EMERGENCY, batt_w=12.0,  batt_mode=idle,  batt_discharge_w=12.0,  batt_charge_w=0,  load_w=3605.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
2026-02-19T22:05:00.214640+01:00,  soc=31.0,  volt=46.35,  volt_delta=-6.45, volt_rate_per_min=-6.45, volt_status=CRITICAL_EMERGENCY, batt_w=12.0,  batt_mode=idle,  batt_discharge_w=12.0,  batt_charge_w=0,  load_w=3426.0, zone=unknown,  grid_charge=off, ev_charging_active=off, ev_charge_end=2026-02-19 05:00:02, ev_webhook_count=88, max_discharge_a=1, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=43, volt_penalty_a=15, voltage_protected_limit_a=28, soc_power_w=1972, is_critical_soc=False
